id,name,cuisine,locality,lat,long,avg_rating,currency,cost_for_two,url
7418283,Kumalawangi - Royal Amaroossa Hotel,steak,Bogor Tengah,-6.601666667,106.8048333,0,IDR,550000,https://www.zomato.com/jakarta/kumalawangi-royal-amaroossa-hotel-bogor-tengah?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7409697,Outback Steakhouse,steak,Pondok Indah,-6.265072222,106.7839972,4.3,IDR,500000,https://www.zomato.com/jakarta/outback-steakhouse-pondok-indah?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7400320,Outback Steakhouse,steak,Kuningan,-6.224833333,106.8293333,4.1,IDR,500000,https://www.zomato.com/jakarta/outback-steakhouse-kuningan?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7401615,Outback Steakhouse,steak,Sudirman,-6.227333333,106.8016667,4.4,IDR,500000,https://www.zomato.com/jakarta/outback-steakhouse-sudirman?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7421954,Outback Steakhouse,steak,Puri Indah,-6.188216667,106.7380361,3.7,IDR,500000,https://www.zomato.com/jakarta/outback-steakhouse-puri-indah?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7411396,B.A.T.S - Hotel Shangri-La,steak,Sudirman,-6.203291667,106.8189611,3.5,IDR,500000,https://www.zomato.com/jakarta/b-a-t-s-hotel-shangri-la-sudirman?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7412966,Gandy Bistro,steak,Serpong,-6.295527778,106.6672833,3.4,IDR,500000,https://www.zomato.com/jakarta/gandy-bistro-serpong?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7418370,Rafflesia Lounge - Hotel Salak The Heritage,steak,Bogor Tengah,-6.594666667,106.7941667,0,IDR,450000,https://www.zomato.com/jakarta/rafflesia-lounge-hotel-salak-the-heritage-bogor-tengah?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7420611,B'Steak Grill & Pancake,steak,Serpong Utara,-6.239727778,106.6375056,4,IDR,420000,https://www.zomato.com/jakarta/b-steak-grill-pancake-serpong-utara-tangerang?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7409066,B'Steak Grill & Pancake,steak,Green Ville,-6.169333333,106.7716667,4,IDR,420000,https://www.zomato.com/jakarta/b-steak-grill-pancake-green-ville?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7410031,B'Steak Grill & Pancake,steak,Muara Karang,-6.116,106.7771667,3.9,IDR,420000,https://www.zomato.com/jakarta/b-steak-grill-pancake-muara-karang?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7415928,Crunchy Fried Chicken Steak,steak,Sawangan,-6.406666667,106.7766667,0,IDR,70000,https://www.zomato.com/jakarta/crunchy-fried-chicken-steak-sawangan?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7417569,TS Surya Steak & Shake,steak,Mustikajaya,-6.319666667,107.0146667,0,IDR,70000,https://www.zomato.com/jakarta/ts-surya-steak-shake-mustikajaya?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7404331,Uncle Yaya's,steak,Thamrin,-6.189625,106.8232278,0,IDR,70000,https://www.zomato.com/jakarta/uncle-yayas-thamrin?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7415722,Reborn Steak,steak,Cinere,-6.324333333,106.784,0,IDR,70000,https://www.zomato.com/jakarta/reborn-steak-cinere?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7417796,D'Hotplate,steak,Bogor Timur,-6.621666667,106.8173333,0,IDR,70000,https://www.zomato.com/jakarta/dhotplate-bogor-timur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7412636,Pepper Mill,steak,Serpong Utara,-6.268833333,106.657,2.6,IDR,70000,https://www.zomato.com/jakarta/pepper-mill-serpong-utara?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7409292,Dunia Steak,steak,Grogol,-6.164305556,106.7927389,2.5,IDR,75000,https://www.zomato.com/jakarta/dunia-steak-grogol?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7401617,Waroeng Steak & Shake,steak,Tebet,-6.2305,106.8493333,2.3,IDR,80000,https://www.zomato.com/jakarta/waroeng-steak-shake-tebet?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7415405,Waroeng Steak & Shake,steak,Beji,-6.379405556,106.8309028,2.1,IDR,80000,https://www.zomato.com/jakarta/waroeng-steak-shake-beji?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7406705,Waroeng Steak & Shake,steak,Rawamangun,-6.196688889,106.8887417,2.2,IDR,80000,https://www.zomato.com/jakarta/waroeng-steak-shake-rawamangun?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7411215,Waroeng Steak & Shake,steak,Grogol,-6.165936111,106.795525,2.3,IDR,80000,https://www.zomato.com/jakarta/waroeng-steak-shake-grogol?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7417318,Waroeng Steak & Shake,steak,Bekasi Timur,-6.245405556,107.0075222,3.1,IDR,80000,https://www.zomato.com/jakarta/waroeng-steak-shake-bekasi-timur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7408071,Waroeng Steak & Shake,steak,Kalimalang,-6.249133333,106.9410861,2.9,IDR,80000,https://www.zomato.com/jakarta/waroeng-steak-shake-kalimalang?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7423677,Waroeng Steak & Shake,steak,Bintaro,-6.272080556,106.7471861,2.7,IDR,80000,https://www.zomato.com/jakarta/waroeng-steak-shake-bintaro?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7404441,Waroeng Steak & Shake,steak,Cempaka Putih,-6.174388889,106.8603667,3,IDR,80000,https://www.zomato.com/jakarta/waroeng-steak-shake-cempaka-putih?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7413268,Waroeng Steak & Shake,steak,Ciputat Timur,-6.295644444,106.7652583,3.5,IDR,80000,https://www.zomato.com/jakarta/waroeng-steak-shake-ciputat-timur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7409844,Obonk Steak & Ribs,steak,Kebon Jeruk,-6.207827778,106.783425,2.5,IDR,80000,https://www.zomato.com/jakarta/obonk-steak-ribs-kebon-jeruk?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7409807,Waroeng Steak & Shake,steak,Kebon Jeruk,-6.213333333,106.780175,2.2,IDR,80000,https://www.zomato.com/jakarta/waroeng-steak-shake-kebon-jeruk?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7416846,Waroeng Steak & Shake,steak,Pondok Gede,-6.272027778,106.9122167,3,IDR,80000,https://www.zomato.com/jakarta/waroeng-steak-shake-pondok-gede?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
7418311,Waroeng Steak & Shake,steak,Tanah Sareal,-6.570491667,106.8043222,2.1,IDR,80000,https://www.zomato.com/jakarta/waroeng-steak-shake-tanah-sareal?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
